Pair,Date,Minute,Rate
EURUSD,2020.10.01,0:00,1.17423
EURUSD,2020.10.01,0:01,1.17419
EURUSD,2020.10.01,0:02,1.17422
EURUSD,2020.10.01,0:03,1.17422
EURUSD,2020.10.01,0:04,1.17423
EURUSD,2020.10.01,0:05,1.17421
EURUSD,2020.10.01,0:06,1.17417
EURUSD,2020.10.01,0:07,1.17418
EURUSD,2020.10.01,0:08,1.17419
EURUSD,2020.10.01,0:09,1.17409
EURUSD,2020.10.01,0:10,1.17413
EURUSD,2020.10.01,0:11,1.17418
EURUSD,2020.10.01,0:12,1.17413
EURUSD,2020.10.01,0:13,1.17422
EURUSD,2020.10.01,0:14,1.17422
EURUSD,2020.10.01,0:15,1.17429
EURUSD,2020.10.01,0:16,1.1744
EURUSD,2020.10.01,0:17,1.17435
EURUSD,2020.10.01,0:18,1.17424
EURUSD,2020.10.01,0:19,1.17421
EURUSD,2020.10.01,0:20,1.17418
EURUSD,2020.10.01,0:21,1.17412
EURUSD,2020.10.01,0:22,1.17413
EURUSD,2020.10.01,0:23,1.17403
EURUSD,2020.10.01,0:24,1.17402
EURUSD,2020.10.01,0:25,1.17403
EURUSD,2020.10.01,0:26,1.17413
EURUSD,2020.10.01,0:27,1.17413
EURUSD,2020.10.01,0:28,1.17409
EURUSD,2020.10.01,0:29,1.17414
EURUSD,2020.10.01,0:30,1.17424
EURUSD,2020.10.01,0:31,1.17431
EURUSD,2020.10.01,0:32,1.1743
EURUSD,2020.10.01,0:33,1.17427
EURUSD,2020.10.01,0:34,1.17429
EURUSD,2020.10.01,0:35,1.17427
EURUSD,2020.10.01,0:36,1.17433
EURUSD,2020.10.01,0:37,1.17439
EURUSD,2020.10.01,0:38,1.17438
EURUSD,2020.10.01,0:39,1.17442
EURUSD,2020.10.01,0:40,1.17436
EURUSD,2020.10.01,0:41,1.17438
EURUSD,2020.10.01,0:42,1.17438
EURUSD,2020.10.01,0:43,1.1745
EURUSD,2020.10.01,0:44,1.17447
EURUSD,2020.10.01,0:45,1.17461
EURUSD,2020.10.01,0:46,1.1746
EURUSD,2020.10.01,0:47,1.1745
EURUSD,2020.10.01,0:48,1.17462
EURUSD,2020.10.01,0:49,1.17473
EURUSD,2020.10.01,0:50,1.17464
EURUSD,2020.10.01,0:51,1.17469
EURUSD,2020.10.01,0:52,1.17479
EURUSD,2020.10.01,0:53,1.1748
EURUSD,2020.10.01,0:54,1.17464
EURUSD,2020.10.01,0:55,1.1747
EURUSD,2020.10.01,0:56,1.17469
EURUSD,2020.10.01,0:57,1.17471
EURUSD,2020.10.01,0:58,1.17481
EURUSD,2020.10.01,0:59,1.17472
EURUSD,2020.10.01,1:00,1.17468
EURUSD,2020.10.01,1:01,1.17468
EURUSD,2020.10.01,1:02,1.17469
EURUSD,2020.10.01,1:03,1.17453
EURUSD,2020.10.01,1:04,1.1746
EURUSD,2020.10.01,1:05,1.17446
EURUSD,2020.10.01,1:06,1.17443
EURUSD,2020.10.01,1:07,1.17446
EURUSD,2020.10.01,1:08,1.17444
EURUSD,2020.10.01,1:09,1.17449
EURUSD,2020.10.01,1:10,1.17426
EURUSD,2020.10.01,1:11,1.17437
EURUSD,2020.10.01,1:12,1.17447
EURUSD,2020.10.01,1:13,1.17443
EURUSD,2020.10.01,1:14,1.17442
EURUSD,2020.10.01,1:15,1.17434
EURUSD,2020.10.01,1:16,1.17438
EURUSD,2020.10.01,1:17,1.17432
EURUSD,2020.10.01,1:18,1.17435
EURUSD,2020.10.01,1:19,1.17433
EURUSD,2020.10.01,1:20,1.17431
EURUSD,2020.10.01,1:21,1.17432
EURUSD,2020.10.01,1:22,1.17429
EURUSD,2020.10.01,1:23,1.17427
EURUSD,2020.10.01,1:24,1.1743
EURUSD,2020.10.01,1:25,1.17429
EURUSD,2020.10.01,1:26,1.17426
EURUSD,2020.10.01,1:27,1.17428
EURUSD,2020.10.01,1:28,1.17434
EURUSD,2020.10.01,1:29,1.17438
EURUSD,2020.10.01,1:30,1.17435
EURUSD,2020.10.01,1:31,1.17444
EURUSD,2020.10.01,1:32,1.17441
EURUSD,2020.10.01,1:33,1.1744
EURUSD,2020.10.01,1:34,1.17432
EURUSD,2020.10.01,1:35,1.17436
EURUSD,2020.10.01,1:36,1.1744
EURUSD,2020.10.01,1:37,1.1746
EURUSD,2020.10.01,1:38,1.17455
EURUSD,2020.10.01,1:39,1.1745
EURUSD,2020.10.01,1:40,1.17456
EURUSD,2020.10.01,1:41,1.1746
EURUSD,2020.10.01,1:42,1.1746
EURUSD,2020.10.01,1:43,1.17453
EURUSD,2020.10.01,1:44,1.17476
EURUSD,2020.10.01,1:45,1.17474
EURUSD,2020.10.01,1:46,1.17489
EURUSD,2020.10.01,1:47,1.17499
EURUSD,2020.10.01,1:48,1.17498
EURUSD,2020.10.01,1:49,1.17492
EURUSD,2020.10.01,1:50,1.17483
EURUSD,2020.10.01,1:51,1.17466
EURUSD,2020.10.01,1:52,1.1747
EURUSD,2020.10.01,1:53,1.1746
EURUSD,2020.10.01,1:54,1.17457
EURUSD,2020.10.01,1:55,1.17479
EURUSD,2020.10.01,1:56,1.17466
EURUSD,2020.10.01,1:57,1.17494
EURUSD,2020.10.01,1:58,1.17496
EURUSD,2020.10.01,1:59,1.17474
EURUSD,2020.10.01,2:00,1.17489
EURUSD,2020.10.01,2:01,1.17502
EURUSD,2020.10.01,2:02,1.17505
EURUSD,2020.10.01,2:03,1.17494
EURUSD,2020.10.01,2:04,1.17489
EURUSD,2020.10.01,2:05,1.17502
EURUSD,2020.10.01,2:06,1.17521
EURUSD,2020.10.01,2:07,1.17521
EURUSD,2020.10.01,2:08,1.17523
EURUSD,2020.10.01,2:09,1.17509
EURUSD,2020.10.01,2:10,1.17477
EURUSD,2020.10.01,2:11,1.17465
EURUSD,2020.10.01,2:12,1.17458
EURUSD,2020.10.01,2:13,1.1747
EURUSD,2020.10.01,2:14,1.17478
EURUSD,2020.10.01,2:15,1.17494
EURUSD,2020.10.01,2:16,1.1752
EURUSD,2020.10.01,2:17,1.17519
EURUSD,2020.10.01,2:18,1.17483
EURUSD,2020.10.01,2:19,1.17492
EURUSD,2020.10.01,2:20,1.17517
EURUSD,2020.10.01,2:21,1.17518
EURUSD,2020.10.01,2:22,1.17511
EURUSD,2020.10.01,2:23,1.17497
EURUSD,2020.10.01,2:24,1.17484
EURUSD,2020.10.01,2:25,1.17495
EURUSD,2020.10.01,2:26,1.17496
EURUSD,2020.10.01,2:27,1.17494
EURUSD,2020.10.01,2:28,1.17485
EURUSD,2020.10.01,2:29,1.17502
EURUSD,2020.10.01,2:30,1.17499
EURUSD,2020.10.01,2:31,1.17495
EURUSD,2020.10.01,2:32,1.17496
EURUSD,2020.10.01,2:33,1.17506
EURUSD,2020.10.01,2:34,1.17509
EURUSD,2020.10.01,2:35,1.17494
EURUSD,2020.10.01,2:36,1.17493
EURUSD,2020.10.01,2:37,1.17467
EURUSD,2020.10.01,2:38,1.17467
EURUSD,2020.10.01,2:39,1.17482
EURUSD,2020.10.01,2:40,1.17483
EURUSD,2020.10.01,2:41,1.17472
EURUSD,2020.10.01,2:42,1.17477
EURUSD,2020.10.01,2:43,1.17461
EURUSD,2020.10.01,2:44,1.17457
EURUSD,2020.10.01,2:45,1.17453
EURUSD,2020.10.01,2:46,1.17448
EURUSD,2020.10.01,2:47,1.17456
EURUSD,2020.10.01,2:48,1.17455
EURUSD,2020.10.01,2:49,1.17462
EURUSD,2020.10.01,2:50,1.17454
EURUSD,2020.10.01,2:51,1.17467
EURUSD,2020.10.01,2:52,1.17445
EURUSD,2020.10.01,2:53,1.17451
EURUSD,2020.10.01,2:54,1.17444
EURUSD,2020.10.01,2:55,1.17481
EURUSD,2020.10.01,2:56,1.17519
EURUSD,2020.10.01,2:57,1.17526
EURUSD,2020.10.01,2:58,1.17571
EURUSD,2020.10.01,2:59,1.17531
EURUSD,2020.10.01,3:00,1.17544
EURUSD,2020.10.01,3:01,1.17555
EURUSD,2020.10.01,3:02,1.17488
EURUSD,2020.10.01,3:03,1.1748
EURUSD,2020.10.01,3:04,1.17452
EURUSD,2020.10.01,3:05,1.17427
EURUSD,2020.10.01,3:06,1.17421
EURUSD,2020.10.01,3:07,1.17424
EURUSD,2020.10.01,3:08,1.17419
EURUSD,2020.10.01,3:09,1.17397
EURUSD,2020.10.01,3:10,1.17408
EURUSD,2020.10.01,3:11,1.17414
EURUSD,2020.10.01,3:12,1.17423
EURUSD,2020.10.01,3:13,1.17424
EURUSD,2020.10.01,3:14,1.17426
EURUSD,2020.10.01,3:15,1.17433
EURUSD,2020.10.01,3:16,1.17456
EURUSD,2020.10.01,3:17,1.17453
EURUSD,2020.10.01,3:18,1.17428
EURUSD,2020.10.01,3:19,1.17452
EURUSD,2020.10.01,3:20,1.17468
EURUSD,2020.10.01,3:21,1.17469
EURUSD,2020.10.01,3:22,1.17477
EURUSD,2020.10.01,3:23,1.17478
EURUSD,2020.10.01,3:24,1.17458
EURUSD,2020.10.01,3:25,1.17445
EURUSD,2020.10.01,3:26,1.17408
EURUSD,2020.10.01,3:27,1.17418
EURUSD,2020.10.01,3:28,1.1743
EURUSD,2020.10.01,3:29,1.17411
EURUSD,2020.10.01,3:30,1.17365
EURUSD,2020.10.01,3:31,1.17354
EURUSD,2020.10.01,3:32,1.17328
EURUSD,2020.10.01,3:33,1.17348
EURUSD,2020.10.01,3:34,1.17338
EURUSD,2020.10.01,3:35,1.17343
EURUSD,2020.10.01,3:36,1.17351
EURUSD,2020.10.01,3:37,1.17343
EURUSD,2020.10.01,3:38,1.1734
EURUSD,2020.10.01,3:39,1.17342
EURUSD,2020.10.01,3:40,1.17303
EURUSD,2020.10.01,3:41,1.17319
EURUSD,2020.10.01,3:42,1.17262
