,PLAYER,TEAM,DIV,CONF,RANK,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,AVG PTS,AVG REB,AVG AST,AVG STL,AVG BLK,AVG PF
0,James Harden,HOU,Southwest,West,8,30,68,43,25,2483,2335,672,1514,44.4,299,843,35.5,692,800,86.5,70,376,446,512,308,125,60,227,3885.2,22,4,286,34.338235294117645,6.5588235294117645,7.529411764705882,1.838235294117647,0.8823529411764706,3.338235294117647
1,Damian Lillard,POR,Northwest,West,15,29,66,33,33,2474,1978,624,1349,46.3,270,674,40.1,460,518,88.8,33,251,284,530,194,70,22,114,3195.8,19,1,85,29.96969696969697,4.303030303030303,8.030303030303031,1.0606060606060606,0.3333333333333333,1.7272727272727273
2,Devin Booker,PHX,Pacific,West,16,23,70,34,36,2512,1863,627,1283,48.9,141,398,35.4,468,509,91.9,29,268,297,456,264,49,18,213,2840.4,11,0,130,26.614285714285714,4.242857142857143,6.514285714285714,0.7,0.2571428571428571,3.0428571428571427
3,Giannis Antetokounmpo,MIL,Central,East,1,25,63,51,12,1917,1857,685,1238,55.3,89,293,30.4,398,629,63.3,140,716,856,354,230,61,66,195,3566.2,56,4,682,29.476190476190474,13.587301587301587,5.619047619047619,0.9682539682539683,1.0476190476190477,3.0952380952380953
4,Trae Young,ATL,Southeast,East,27,21,60,18,42,2120,1778,546,1249,43.7,205,568,36.1,481,559,86.0,32,223,255,560,289,65,8,104,2854.0,28,2,-228,29.633333333333333,4.25,9.333333333333334,1.0833333333333333,0.13333333333333333,1.7333333333333334
5,Luka Doncic,DAL,Southwest,West,13,21,61,36,25,2047,1759,581,1255,46.3,171,541,31.6,426,562,75.8,78,495,573,538,260,62,14,153,3221.6,39,17,253,28.83606557377049,9.39344262295082,8.819672131147541,1.0163934426229508,0.22950819672131148,2.5081967213114753
6,Bradley Beal,WAS,Southeast,East,23,27,57,20,37,2053,1741,593,1303,45.5,170,481,35.3,385,457,84.2,52,190,242,347,194,71,23,126,2639.9,8,0,-201,30.54385964912281,4.245614035087719,6.087719298245614,1.2456140350877194,0.40350877192982454,2.210526315789474
7,LeBron James,LAL,Pacific,West,3,35,67,50,17,2316,1698,643,1303,49.3,148,425,34.8,264,381,69.3,66,459,525,684,261,78,36,118,3435.0,46,13,442,25.34328358208955,7.835820895522388,10.208955223880597,1.164179104477612,0.5373134328358209,1.7611940298507462
8,Donovan Mitchell,UTA,Northwest,West,10,23,69,43,26,2364,1655,602,1342,44.9,173,473,36.6,278,322,86.3,53,251,304,294,184,70,14,172,2528.8,1,0,113,23.985507246376812,4.405797101449275,4.260869565217392,1.0144927536231885,0.2028985507246377,2.4927536231884058
9,Anthony Davis,LAL,Pacific,West,3,27,62,46,16,2131,1618,551,1096,50.3,72,218,33.0,444,525,84.6,142,435,577,200,154,91,143,156,3158.4,29,0,240,26.096774193548388,9.306451612903226,3.225806451612903,1.467741935483871,2.306451612903226,2.5161290322580645
10,CJ McCollum,POR,Northwest,West,15,28,70,34,36,2557,1556,611,1356,45.1,194,512,37.9,140,185,75.7,46,251,297,310,127,54,42,183,2538.4,4,0,14,22.228571428571428,4.242857142857143,4.428571428571429,0.7714285714285715,0.6,2.6142857142857143
11,Russell Westbrook,HOU,Southwest,West,8,31,57,36,21,2049,1553,604,1281,47.2,55,213,25.8,290,380,76.3,100,351,451,401,255,93,20,200,2779.7,22,8,123,27.24561403508772,7.912280701754386,7.035087719298246,1.631578947368421,0.3508771929824561,3.508771929824561
12,Jayson Tatum,BOS,Atlantic,East,5,22,66,46,20,2265,1547,552,1226,45.0,189,469,40.3,254,313,81.2,64,396,460,200,155,93,57,136,2694.0,10,0,500,23.439393939393938,6.96969696969697,3.0303030303030303,1.4090909090909092,0.8636363636363636,2.0606060606060606
13,Kawhi Leonard,LAC,Pacific,West,4,29,57,41,16,1848,1543,532,1133,47.0,123,325,37.8,356,402,88.6,54,348,402,280,149,103,33,113,2704.4,13,1,478,27.07017543859649,7.052631578947368,4.912280701754386,1.8070175438596492,0.5789473684210527,1.9824561403508771
14,Zach LaVine,CHI,Central,East,24,25,60,20,40,2085,1530,539,1199,45.0,184,484,38.0,268,334,80.2,41,248,289,254,206,88,28,131,2399.8,2,0,-191,25.5,4.816666666666666,4.233333333333333,1.4666666666666666,0.4666666666666667,2.183333333333333
