Date,AAPL,AMZN
8/19/2015,106.282379,532.919983
8/20/2015,104.101456,515.780029
8/21/2015,97.734299,494.470001
8/24/2015,95.294647,463.369995
8/25/2015,95.867607,466.369995
8/26/2015,101.366074,500.769989
8/27/2015,104.350983,518.369995
8/28/2015,104.692871,518.01001
8/31/2015,104.20311,512.890015
9/1/2015,99.54557,496.540009
9/2/2015,103.81498,510.549988
9/3/2015,101.994484,504.720001
9/4/2015,100.977966,499
9/8/2015,103.787254,517.539978
9/9/2015,101.791168,516.890015
9/10/2015,104.027512,522.23999
9/11/2015,105.543083,529.440002
9/14/2015,106.559593,521.380005
9/15/2015,107.455994,522.369995
9/16/2015,107.576134,527.390015
9/17/2015,105.275085,538.869995
9/18/2015,104.840744,540.26001
9/21/2015,106.467194,548.390015
9/22/2015,104.794556,538.400024
9/23/2015,105.644722,536.070007
9/24/2015,106.273109,533.75
9/25/2015,106.005119,524.25
9/28/2015,103.907394,504.059998
9/29/2015,100.78389,496.070007
9/30/2015,101.929794,511.890015
10/1/2015,101.264427,520.719971
10/2/2015,102.003716,532.539978
10/5/2015,102.373367,543.679993
10/6/2015,102.863136,537.47998
10/7/2015,102.373367,541.940002
10/8/2015,101.190491,533.159973
10/9/2015,103.611687,539.799988
10/12/2015,103.131142,550.190002
10/13/2015,103.306717,548.900024
10/14/2015,101.846626,544.830017
10/15/2015,103.371414,562.440002
10/16/2015,102.613632,570.76001
10/19/2015,103.251282,573.150024
10/20/2015,105.136467,560.880005
10/21/2015,105.127235,555.77002
10/22/2015,106.735191,563.909973
10/23/2015,110.04351,599.030029
10/26/2015,106.531876,608.609985
10/27/2015,105.857277,611.01001
10/28/2015,110.219093,617.099976
10/29/2015,111.383469,626.549988
10/30/2015,110.431648,625.900024
11/2/2015,111.984161,628.349976
11/3/2015,113.268661,625.309998
11/4/2015,112.74192,640.950012
11/5/2015,112.222191,655.650024
11/6/2015,112.352112,659.369995
11/9/2015,111.897385,655.48999
11/10/2015,108.370689,659.679993
11/11/2015,107.758179,673.25
11/12/2015,107.396225,665.599976
11/13/2015,104.259354,642.349976
11/16/2015,105.967026,647.809998
11/17/2015,105.51226,643.299988
11/18/2015,108.853294,663.539978
11/19/2015,110.236122,661.27002
11/20/2015,110.718719,668.450012
11/23/2015,109.280228,678.98999
11/24/2015,110.328941,671.150024
11/25/2015,109.54007,675.340027
11/27/2015,109.335907,673.26001
11/30/2015,109.790665,664.799988
12/1/2015,108.899689,679.059998
12/2/2015,107.915955,676.01001
12/3/2015,106.913643,666.25
12/4/2015,110.468147,672.640015
12/7/2015,109.772102,669.830017
12/8/2015,109.725693,677.330017
12/9/2015,107.303421,664.789978
12/10/2015,107.813866,662.320007
12/11/2015,105.03894,640.150024
12/14/2015,104.38929,657.909973
12/15/2015,102.54245,658.640015
