Date,Open,High,Low,Close,Adj Close,Volume
2015-08-19,7.810000,8.040000,7.720000,7.900000,4.544211,23993200
2015-08-20,8.190000,8.520000,8.180000,8.240000,4.739784,28769400
2015-08-21,8.390000,8.440000,7.910000,8.010000,4.607485,24266200
2015-08-24,7.720000,7.820000,7.150000,7.230000,4.158815,30264100
2015-08-25,7.420000,7.500000,6.860000,6.990000,4.020764,17932200
2015-08-26,6.920000,6.920000,6.520000,6.550000,3.767668,29322800
2015-08-27,6.600000,6.910000,6.510000,6.840000,3.946532,31487300
2015-08-28,6.890000,7.280000,6.870000,7.130000,4.113855,27217000
2015-08-31,6.980000,7.000000,6.630000,6.950000,4.009998,23252800
2015-09-01,7.030000,7.180000,6.690000,6.750000,3.894603,21711000
2015-09-02,6.740000,6.780000,6.500000,6.690000,3.859984,16477100
2015-09-03,6.590000,6.910000,6.450000,6.480000,3.738819,18802700
2015-09-04,6.410000,6.440000,6.230000,6.410000,3.698432,16294200
2015-09-08,6.480000,6.600000,6.350000,6.520000,3.761898,12933600
2015-09-09,6.410000,6.540000,6.250000,6.270000,3.617653,18824400
2015-09-10,6.400000,6.420000,6.130000,6.210000,3.583035,17477100
2015-09-11,6.130000,6.400000,5.950000,6.350000,3.663813,21091200
2015-09-14,6.290000,6.400000,6.160000,6.230000,3.594575,14768600
2015-09-15,6.180000,6.420000,6.140000,6.250000,3.606115,12517300
2015-09-16,6.410000,6.720000,6.380000,6.700000,3.865755,31870700
2015-09-17,6.590000,7.040000,6.490000,6.840000,3.946532,27386100
2015-09-18,6.940000,7.010000,6.660000,6.750000,3.894603,28545800
2015-09-21,6.650000,6.750000,6.560000,6.580000,3.796518,16618400
2015-09-22,6.410000,6.460000,6.080000,6.110000,3.525337,20562900
2015-09-23,6.220000,6.230000,5.910000,5.940000,3.427251,16237000
2015-09-24,6.080000,6.580000,6.020000,6.560000,3.784978,33177000
2015-09-25,6.400000,6.630000,6.360000,6.570000,3.790748,22610200
2015-09-28,6.360000,6.470000,6.260000,6.260000,3.611884,17148800
2015-09-29,6.330000,6.460000,6.150000,6.210000,3.583035,13473400
